Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
37	-13.361934	106.14929	152.2495	-141.62747	660.5	-29.785343	0.028508766	-29.544987	-29.80359	152000	4.7683715e-09	5125.9023	-0.007923683	-7.1450195	1.065532	0.009488958	0.1695	79.0	179.07073307037354
38	-7.13732	82.93533	112.13964	-114.05229	698.4	-30.25538	0.047401313	-29.728554	-30.279903	156000	-1.5497208e-09	1939.5427	-0.006906711	-2.2003174	0.99016076	0.006387458	0.0705	79.0	184.85021090507507
39	14.9868145	76.866295	96.39715	-100.31371	764.0	-30.588816	0.052439928	-29.990547	-30.613522	160000	-4.053116e-09	2206.345	-0.009829771	-0.19262695	0.9872534	0.01504912	0.107	51.0	190.85658407211304
40	-2.761345	73.70779	63.414238	-127.75154	865.5	-30.51149	0.10233166	-29.072836	-30.544535	164000	4.7683715e-09	1378.7487	-0.007465621	-0.2984619	1.0557832	0.009868374	0.13675	79.0	198.47509694099426
41	101.443825	45.515522	163.83446	53.893097	860.0	-30.605839	0.08772082	-29.49517	-30.641422	168000	1.001358e-08	4205.2964	-0.005986308	-2671.3066	1.0005444	0.0068457546	0.05375	79.0	206.1207790374756
42	79.22542	44.756687	154.23636	41.305172	895.5	0.03591687	10.777251	23.732822	-19.378628	172000	1.01923945e-08	892.29	-0.004529195	-355.11615	1.038328	0.01161374	0.1345	79.0	214.73736381530762
43	127.901726	44.94958	187.56514	78.65481	817.25	11.888482	15.464896	25.995562	-20.440447	176000	3.0994416e-09	1623.6556	-0.004518374	-211.88403	0.98478806	0.0075615044	0.047	79.0	221.69823789596558
44	97.00304	34.97547	141.9332	44.916313	858.5	13.226125	18.259756	27.757475	-26.673853	180000	1.192093e-10	1565.7992	-0.0046728845	-323.30518	0.9337714	0.0068718814	0.0365	79.0	228.49925804138184
45	66.340096	83.01285	133.18002	-72.15775	754.25	26.759256	3.3876905	28.942934	-9.659311	184000	-1.7523766e-08	2327.6733	-0.00529728	-558.8397	0.8965748	0.009994788	0.08075	79.0	235.3437271118164
46	39.01561	95.8467	149.58109	-114.08887	849.75	1.6442007	21.397564	29.754707	-29.596561	188000	-4.172325e-09	4161.0425	-0.007820804	-956.8252	0.96657854	0.0124647925	0.11875	79.0	243.48206305503845
47	41.534306	92.60501	147.12694	-94.94874	866.0	-0.6402892	10.041372	20.842564	-18.989052	192000	4.2915342e-09	2986.67	-0.007172755	-358.92993	0.89413303	0.006368795	0.078	79.0	250.3740861415863
48	94.22192	47.848576	160.08495	26.59232	857.5	19.892519	4.6728907	28.614449	-8.555223	196000	4.529953e-09	952.9359	-0.0033301478	-147.33417	0.8973586	0.0025187186	0.05425	79.0	257.8690450191498
49	59.362816	80.88628	143.18538	-92.10455	755.0	25.11153	4.384301	30.430088	-0.8515807	200000	-8.3446505e-10	3051.2	-0.005665415	-154.89624	0.9070563	0.006556057	0.08375	79.0	264.3120629787445
